Keyword,ASIN,Title,Detail_Page_URL,Star_Rating,Number_of_Reviews,Price,Current_Time
exfoliante sólido hombre,B06XHNNVJ1,"Exfoliante Facial Suave para una Limpieza Facial Profunda: Renovación Celular, Aumento Colágeno, Reducción de Manchas y Puntos Negros. Mejora la Textura de la Piel en un 79% - 200 g",https://www.amazon.es//Exfoliante-Facial-Perlas-Jojoba-Sensible/dp/B06XHNNVJ1/ref=sr_1_140?dib=eyJ2IjoiMSJ9.v2m85EhKqksDe2Ke9XyNgZU1jlPQ8d9xrxSyBbl9kXnG359SFJ94jMp1vgtsvaFVoNq2_iywpfuCqD2wRm3L6aF7_RA2SYdommw6qceoaV5PVe6uM3BEbIKm9PSfIEl1MlsWL2T4rImvFxN4ADyZdpB4TVEkJHl3feiFruGtl2xSPPWWaLGKMUu6fcqKkdDbg9FyQ7I3n82E-_LYzptszCE90Fkavbh7dqflfwWXPo1QXV6GaGokpekdOjg7sT7RfKYQoDHo5_qPEGj2SZY6Nwzsi62ERFm-FRsLLaMBASk.rs6NtNG7b0CQGSLm86dHYsYv_kV3uycuyrLA7MgKScE&dib_tag=se&keywords=exfoliante%2Bs%C3%B3lido%2Bhombre&qid=1744062265&sr=8-140,"4,0 de 5 estrellas",,"10,99 €","4/8/2025, 05:44:41"
exfoliante sólido hombre,B01GB71XQU,"Greendoor Sal Del Mar Scrub Cocos, Sal marina Cuerpo Peeling sin Plástico, 280g, de la manufactura de cosmética natural",https://www.amazon.es//Greendoor-Peeling-Pl%C3%A1stico-manufactura-cosm%C3%A9tica/dp/B01GB71XQU/ref=sr_1_142?dib=eyJ2IjoiMSJ9.v2m85EhKqksDe2Ke9XyNgZU1jlPQ8d9xrxSyBbl9kXnG359SFJ94jMp1vgtsvaFVoNq2_iywpfuCqD2wRm3L6aF7_RA2SYdommw6qceoaV5PVe6uM3BEbIKm9PSfIEl1MlsWL2T4rImvFxN4ADyZdpB4TVEkJHl3feiFruGtl2xSPPWWaLGKMUu6fcqKkdDbg9FyQ7I3n82E-_LYzptszCE90Fkavbh7dqflfwWXPo1QXV6GaGokpekdOjg7sT7RfKYQoDHo5_qPEGj2SZY6Nwzsi62ERFm-FRsLLaMBASk.rs6NtNG7b0CQGSLm86dHYsYv_kV3uycuyrLA7MgKScE&dib_tag=se&keywords=exfoliante%2Bs%C3%B3lido%2Bhombre&qid=1744062265&sr=8-142,"4,2 de 5 estrellas",,"14,90 €","4/8/2025, 05:44:42"
exfoliante sólido hombre,B0DB29RYYF,ALOESOVE Exfoliante Facial 50 ml - Peeling Facial Ácido con Ingredientes Naturales - Srub Facial Adecuado para Todo Tipo de Piel - Exfolia e Hidrata Efectivamente,https://www.amazon.es//ALOESOVE-Exfoliante-Facial-Ingredientes-Efectivamente/dp/B0DB29RYYF/ref=sr_1_143?dib=eyJ2IjoiMSJ9.v2m85EhKqksDe2Ke9XyNgZU1jlPQ8d9xrxSyBbl9kXnG359SFJ94jMp1vgtsvaFVoNq2_iywpfuCqD2wRm3L6aF7_RA2SYdommw6qceoaV5PVe6uM3BEbIKm9PSfIEl1MlsWL2T4rImvFxN4ADyZdpB4TVEkJHl3feiFruGtl2xSPPWWaLGKMUu6fcqKkdDbg9FyQ7I3n82E-_LYzptszCE90Fkavbh7dqflfwWXPo1QXV6GaGokpekdOjg7sT7RfKYQoDHo5_qPEGj2SZY6Nwzsi62ERFm-FRsLLaMBASk.rs6NtNG7b0CQGSLm86dHYsYv_kV3uycuyrLA7MgKScE&dib_tag=se&keywords=exfoliante%2Bs%C3%B3lido%2Bhombre&qid=1744062265&sr=8-143,"4,0 de 5 estrellas",,"12,06 €","4/8/2025, 05:44:42"
exfoliante sólido hombre,B00YSDPIKW,MAYSTAR - SENSITIVE Peeling Gommage. Exfoliantes facial de arrastre para pieles sensibles. 150 ml,https://www.amazon.es//MAYSTAR-SENSITIVE-Gommage-Exfoliantes-sensibles/dp/B00YSDPIKW/ref=sr_1_144?dib=eyJ2IjoiMSJ9.v2m85EhKqksDe2Ke9XyNgZU1jlPQ8d9xrxSyBbl9kXnG359SFJ94jMp1vgtsvaFVoNq2_iywpfuCqD2wRm3L6aF7_RA2SYdommw6qceoaV5PVe6uM3BEbIKm9PSfIEl1MlsWL2T4rImvFxN4ADyZdpB4TVEkJHl3feiFruGtl2xSPPWWaLGKMUu6fcqKkdDbg9FyQ7I3n82E-_LYzptszCE90Fkavbh7dqflfwWXPo1QXV6GaGokpekdOjg7sT7RfKYQoDHo5_qPEGj2SZY6Nwzsi62ERFm-FRsLLaMBASk.rs6NtNG7b0CQGSLm86dHYsYv_kV3uycuyrLA7MgKScE&dib_tag=se&keywords=exfoliante%2Bs%C3%B3lido%2Bhombre&qid=1744062265&sr=8-144,,,"14,95 €","4/8/2025, 05:44:42"
exfoliante sólido hombre,B002M2LN5K,Exfoliante Exfoliante de Bambú de Phyt's Men 100 g de gel,https://www.amazon.es//Phyts-Limpiador-D%C3%A9sincrustant-bamb%C3%BA-Exfoliante/dp/B002M2LN5K/ref=sr_1_145?dib=eyJ2IjoiMSJ9.v2m85EhKqksDe2Ke9XyNgZU1jlPQ8d9xrxSyBbl9kXnG359SFJ94jMp1vgtsvaFVoNq2_iywpfuCqD2wRm3L6aF7_RA2SYdommw6qceoaV5PVe6uM3BEbIKm9PSfIEl1MlsWL2T4rImvFxN4ADyZdpB4TVEkJHl3feiFruGtl2xSPPWWaLGKMUu6fcqKkdDbg9FyQ7I3n82E-_LYzptszCE90Fkavbh7dqflfwWXPo1QXV6GaGokpekdOjg7sT7RfKYQoDHo5_qPEGj2SZY6Nwzsi62ERFm-FRsLLaMBASk.rs6NtNG7b0CQGSLm86dHYsYv_kV3uycuyrLA7MgKScE&dib_tag=se&keywords=exfoliante%2Bs%C3%B3lido%2Bhombre&qid=1744062265&sr=8-145,"5,0 de 5 estrellas",,"21,50 €","4/8/2025, 05:44:42"
exfoliante sólido hombre,B077XNVB8R,"Beauty of Joseon Gel exfoliante de flor de albaricoque, 120 ml",https://www.amazon.es//Belleza-Joseon-Apricot-Blossom-Peeling/dp/B077XNVB8R/ref=sr_1_146?dib=eyJ2IjoiMSJ9.v2m85EhKqksDe2Ke9XyNgZU1jlPQ8d9xrxSyBbl9kXnG359SFJ94jMp1vgtsvaFVoNq2_iywpfuCqD2wRm3L6aF7_RA2SYdommw6qceoaV5PVe6uM3BEbIKm9PSfIEl1MlsWL2T4rImvFxN4ADyZdpB4TVEkJHl3feiFruGtl2xSPPWWaLGKMUu6fcqKkdDbg9FyQ7I3n82E-_LYzptszCE90Fkavbh7dqflfwWXPo1QXV6GaGokpekdOjg7sT7RfKYQoDHo5_qPEGj2SZY6Nwzsi62ERFm-FRsLLaMBASk.rs6NtNG7b0CQGSLm86dHYsYv_kV3uycuyrLA7MgKScE&dib_tag=se&keywords=exfoliante%2Bs%C3%B3lido%2Bhombre&qid=1744062265&sr=8-146,"4,3 de 5 estrellas",,,"4/8/2025, 05:44:42"
exfoliante sólido hombre,B07Y1VG9D2,Paula’s Choice RESIST Antiedad 2% BHA Exfoliante - Peeling Facial Antiarrugas Combate Puntos Negros y Pieles Sensibles - con Ácido Salicílico & Péptidos - Pieles Mixtas a Grasas - 88 ml,https://www.amazon.es//Paulas-Choice-RESIST-Antiedad-Exfoliante/dp/B07Y1VG9D2/ref=sr_1_147?dib=eyJ2IjoiMSJ9.v2m85EhKqksDe2Ke9XyNgZU1jlPQ8d9xrxSyBbl9kXnG359SFJ94jMp1vgtsvaFVoNq2_iywpfuCqD2wRm3L6aF7_RA2SYdommw6qceoaV5PVe6uM3BEbIKm9PSfIEl1MlsWL2T4rImvFxN4ADyZdpB4TVEkJHl3feiFruGtl2xSPPWWaLGKMUu6fcqKkdDbg9FyQ7I3n82E-_LYzptszCE90Fkavbh7dqflfwWXPo1QXV6GaGokpekdOjg7sT7RfKYQoDHo5_qPEGj2SZY6Nwzsi62ERFm-FRsLLaMBASk.rs6NtNG7b0CQGSLm86dHYsYv_kV3uycuyrLA7MgKScE&dib_tag=se&keywords=exfoliante%2Bs%C3%B3lido%2Bhombre&qid=1744062265&sr=8-147,"4,2 de 5 estrellas",,"42,00 €","4/8/2025, 05:44:43"
exfoliante sólido hombre,B004JPZIUE,Himalaya Herbals Exfoliante de albaricoque 50 gm,https://www.amazon.es//Himalaya-Herbals-Exfoliante-albaricoque-50-gm/dp/B004JPZIUE/ref=sr_1_148?dib=eyJ2IjoiMSJ9.v2m85EhKqksDe2Ke9XyNgZU1jlPQ8d9xrxSyBbl9kXnG359SFJ94jMp1vgtsvaFVoNq2_iywpfuCqD2wRm3L6aF7_RA2SYdommw6qceoaV5PVe6uM3BEbIKm9PSfIEl1MlsWL2T4rImvFxN4ADyZdpB4TVEkJHl3feiFruGtl2xSPPWWaLGKMUu6fcqKkdDbg9FyQ7I3n82E-_LYzptszCE90Fkavbh7dqflfwWXPo1QXV6GaGokpekdOjg7sT7RfKYQoDHo5_qPEGj2SZY6Nwzsi62ERFm-FRsLLaMBASk.rs6NtNG7b0CQGSLm86dHYsYv_kV3uycuyrLA7MgKScE&dib_tag=se&keywords=exfoliante%2Bs%C3%B3lido%2Bhombre&qid=1744062265&sr=8-148,"4,1 de 5 estrellas",,"20,50 €","4/8/2025, 05:44:43"
exfoliante sólido hombre,B004V9QP0A,"Vasanti Cosmetics Brighten Up. Enzymatic Face Rejuvenator with Microderm Exfoliating Crystals – Treats Dull, Uneven Skintone",https://www.amazon.es//Cosmetics-Enzymatic-Rejuvenator-Microderm-Exfoliating/dp/B004V9QP0A/ref=sr_1_149?dib=eyJ2IjoiMSJ9.v2m85EhKqksDe2Ke9XyNgZU1jlPQ8d9xrxSyBbl9kXnG359SFJ94jMp1vgtsvaFVoNq2_iywpfuCqD2wRm3L6aF7_RA2SYdommw6qceoaV5PVe6uM3BEbIKm9PSfIEl1MlsWL2T4rImvFxN4ADyZdpB4TVEkJHl3feiFruGtl2xSPPWWaLGKMUu6fcqKkdDbg9FyQ7I3n82E-_LYzptszCE90Fkavbh7dqflfwWXPo1QXV6GaGokpekdOjg7sT7RfKYQoDHo5_qPEGj2SZY6Nwzsi62ERFm-FRsLLaMBASk.rs6NtNG7b0CQGSLm86dHYsYv_kV3uycuyrLA7MgKScE&dib_tag=se&keywords=exfoliante%2Bs%C3%B3lido%2Bhombre&qid=1744062265&sr=8-149,"4,7 de 5 estrellas",,,"4/8/2025, 05:44:43"
exfoliante sólido hombre,B00S6RS6TG,"Vasanti – Rejuvenecedor facial enzimático Brighten Up! – Aclara, exfolia y limpia para tener una piel suave, lisa y radiante – Enriquecido con papaya, microcristales profesionales y aloe",https://www.amazon.es//Vasanti-Rejuvenecedor-Enriquecido-microcristales-profesionales/dp/B00S6RS6TG/ref=sr_1_150?dib=eyJ2IjoiMSJ9.v2m85EhKqksDe2Ke9XyNgZU1jlPQ8d9xrxSyBbl9kXnG359SFJ94jMp1vgtsvaFVoNq2_iywpfuCqD2wRm3L6aF7_RA2SYdommw6qceoaV5PVe6uM3BEbIKm9PSfIEl1MlsWL2T4rImvFxN4ADyZdpB4TVEkJHl3feiFruGtl2xSPPWWaLGKMUu6fcqKkdDbg9FyQ7I3n82E-_LYzptszCE90Fkavbh7dqflfwWXPo1QXV6GaGokpekdOjg7sT7RfKYQoDHo5_qPEGj2SZY6Nwzsi62ERFm-FRsLLaMBASk.rs6NtNG7b0CQGSLm86dHYsYv_kV3uycuyrLA7MgKScE&dib_tag=se&keywords=exfoliante%2Bs%C3%B3lido%2Bhombre&qid=1744062265&sr=8-150,"4,3 de 5 estrellas",,"70,52 €","4/8/2025, 05:44:44"
